"Tipo de Incidencia","Clave de incidencia","ID de la incidencia","Resumen","Persona asignada","ID de la persona asignada","Informador","ID del informador","Prioridad","Estado","Resolucion","Epic vinculado","Prioridad MoSCoW","Fuente del requisito","Estado de verificacion","Trazabilidad hacia atras","Trazabilidad hacia adelante"
"Epic","MP-1","10000","Epic 1 - Gestion de perfiles y salud animal","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","","","","","",""
"Epic","MP-2","10001","Epic 2 - Adopcion y cruza","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","","","","","",""
"Epic","MP-3","10002","Epic 3 - Comunicacion y confianza entre usuarios","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","","","","","",""
"Epic","MP-4","10003","Epic 4 - Busqueda, privacidad y notificaciones","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","","","","","",""
"Historia","MP-5","10004","RF-01 -- Registrar mascota","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Hecho","Listo","MP-1 Epic 1 - Gestion de perfiles y salud animal","Must","EV-02, EV-03, EV-05, EV-08 (Propietario)","Verificado","Stakeholder: Propietario","CU-01, Clase Mascota, pet-add.html, Prueba CA-01"
"Historia","MP-6","10005","RF-02 -- Registrar historial medico","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Hecho","Listo","MP-1 Epic 1 - Gestion de perfiles y salud animal","Must","EV-01, EV-04 (Veterinaria)","Verificado","Stakeholder: Veterinaria","CU-02, Clase HistorialMedico, pet-profile.html, Prueba CA-02"
"Historia","MP-7","10006","RF-03 -- Consultar perfil medico","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Desarrollo","","MP-4 Epic 4 - Busqueda, privacidad y notificaciones","Must","EV-04, EV-06, EV-08 (Adoptante)","Pendiente","Stakeholder: Adoptante","CU-10, Clase HistorialMedico, pet-detail.html, Prueba CA-03"
"Historia","MP-8","10007","RF-04 -- Buscar mascota disponible","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Desarrollo","","MP-4 Epic 4 - Busqueda, privacidad y notificaciones","Must","EV-07, EV-08 (Adoptante)","Pendiente","Stakeholder: Adoptante","CU-11, Clase Publicacion, explore.html"
"Historia","MP-9","10008","RF-05 -- Publicar mascota en adopcion","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Aprobado","","MP-2 Epic 2 - Adopcion y cruza","Must","EV-01, EV-02, EV-03, EV-08 (Propietario)","Verificado","Stakeholder: Propietario","CU-04, Clase Publicacion, pet-profile.html, Prueba CA-04"
"Historia","MP-10","10009","RF-06 -- Evaluar compatibilidad de cruza","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Analisis","","MP-2 Epic 2 - Adopcion y cruza","Must","EV-04, EV-05, EV-06, EV-08 (Interesado en cruza)","Pendiente","Stakeholder: Interesado en cruza","CU-13, Clase RegistroCompatibilidad, compatibility.html, Prueba CA-05"
"Historia","MP-11","10010","RF-07 -- Mensajeria entre usuarios","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Hecho","Listo","MP-3 Epic 3 - Comunicacion y confianza entre usuarios","Must","EV-02, EV-07, EV-08 (Propietario)","Verificado","Stakeholder: Propietario","CU-08, Clase Mensaje, request.html"
"Historia","MP-12","10011","RF-08 -- Solicitudes de cruza","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Desarrollo","","MP-2 Epic 2 - Adopcion y cruza","Must","EV-01, EV-03, EV-05 (Interesado en cruza)","Pendiente","Stakeholder: Interesado en cruza","CU-05, Clase SolicitudCruza, request.html, Prueba CA-06"
"Historia","MP-13","10012","RF-09 -- Validar informacion medica","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Aprobado","","MP-3 Epic 3 - Comunicacion y confianza entre usuarios","Must","EV-03, EV-05, EV-07 (Veterinaria)","Pendiente","Stakeholder: Veterinaria","CU-09, Clase CertificadoVeterinario, vet-panel.html, Prueba CA-07"
"Historia","MP-14","10013","RF-10 -- Controles preventivos","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-4 Epic 4 - Busqueda, privacidad y notificaciones","Should","EV-02, EV-04, EV-06 (Propietario)","Pendiente","Stakeholder: Propietario","CU-12, --, --"
"Historia","MP-15","10014","RF-11 -- Administrar privacidad","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Analisis","","MP-4 Epic 4 - Busqueda, privacidad y notificaciones","Must","EV-02, EV-05, EV-06, EV-07, EV-08 (Propietario)","Pendiente","Stakeholder: Propietario","CU-06, Clase Usuario, compatibility.html, Prueba CA-08"
"Historia","MP-16","10015","RF-12 -- Verificar identidad","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Hecho","Listo","MP-3 Epic 3 - Comunicacion y confianza entre usuarios","Must","EV-01, EV-03, EV-07, EV-08 (Todos los usuarios)","Verificado","Stakeholder: Todos los usuarios","Transversal a Onboarding, Clase Usuario, dashboard.html, Prueba CA-09"
"Historia","MP-17","10016","RF-13 -- Registrar publicaciones","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Desarrollo","","MP-2 Epic 2 - Adopcion y cruza","Must","EV-01, EV-02, EV-07, EV-08 (Propietario / Refugio)","Pendiente","Stakeholder: Propietario / Refugio","CU-04, Clase Publicacion, pet-profile.html, Prueba CA-10"
"Historia","MP-18","10017","RF-14 -- Carnet de vacunacion","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-1 Epic 1 - Gestion de perfiles y salud animal","Must","EV-03, EV-05, EV-07 (Veterinaria)","Pendiente","Stakeholder: Veterinaria","CU-03, Clase HistorialMedico, pet-add.html, Prueba CA-11"
"Historia","MP-19","10018","RF-15 -- Historial de procesos","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Analisis","","MP-4 Epic 4 - Busqueda, privacidad y notificaciones","Should","EV-01, EV-02, EV-04, EV-06 (Propietario)","Pendiente","Stakeholder: Propietario","CU-07, --, --"
"Historia","MP-20","10019","RF-16 -- Antecedentes geneticos","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-1 Epic 1 - Gestion de perfiles y salud animal","Should","EV-01, EV-03, EV-05, EV-07 (Interesado en cruza)","Pendiente","Stakeholder: Interesado en cruza","CU-02, Clase AntecedenteGenetico, pet-add.html, Prueba CA-12"
"Historia","MP-21","10020","RF-17 -- Validar imagenes por IA","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-1 Epic 1 - Gestion de perfiles y salud animal","Should","EV-01, EV-03, EV-07, EV-08 (Propietario)","Pendiente","Stakeholder: Propietario","Transversal a Publicaciones, --, --"
"Historia","MP-22","10021","RF-18 -- Flujo de adopcion por etapas","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-2 Epic 2 - Adopcion y cruza","Must","EV-11, EV-16 (Adoptante / Propietario)","Pendiente","Stakeholder: Adoptante / Propietario","CU-04, Clase SolicitudAdopcion, request.html, Prueba CA-13"
"Historia","MP-23","10022","RF-23 -- Alertas de riesgo sanitario o fisico","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-3 Epic 3 - Comunicacion y confianza entre usuarios","Must","EV-09, EV-12, EV-15, EV-18 (Propietario / Interesado en cruza)","Pendiente","Stakeholder: Propietario / Interesado en cruza","CU-06, Clase AlertaRiesgo, compatibility.html, Prueba CA-15"
"Historia","MP-24","10023","RF-25 -- Aviso de mascota extraviada","","","GARY ALBERTO SANCHEZ CORNEJO","gsanchezc6@uteq.edu.ec","Medium","Backlog","","MP-2 Epic 2 - Adopcion y cruza","Must","EV-12, EV-16 (Propietario)","Pendiente","Stakeholder: Propietario","CU-14, Clase AvisoExtraviado, --"
